"id","name","french_name","norm_name","norm_french_name","country_code","postal_code","zone1","zone2","lat","lng","note","url_unique"
"43157","Cuesta del Pino",,"cuesta-del-pino",,"ES","04869","0","0","36.83766","-2.46884","0","-1"
"43158","Cuevas de los Medinas",,"cuevas-de-los-medinas",,"ES","04160","0","0","36.89259","-2.28067","0","-1"
"43159","Cuevas de los Ubedas",,"cuevas-de-los-ubedas",,"ES","04130","0","0","36.92727","-2.29816","0","-1"
"43160","Cuevas del Almanzora",,"cuevas-del-almanzora",,"ES","04610","0","0","37.34693","-1.85134","0","-1"
"43161","Cuevas del Lino",,"cuevas-del-lino",,"ES","04117","0","0","36.84523","-2.20068","0","-1"
"43162","Daimuz",,"daimuz",,"ES","04811","0","0","37.49582","-2.24751","0","-1"
"43163","Dalí",,"dali",,"ES","04889","0","0","37.34802","-2.44557","0","-1"
"43164","Dalías",,"dalias",,"ES","04750","0","0","36.82121","-2.87070","0","-1"
"43165","Darrícal",,"darrical",,"ES","04768","0","0","36.91937","-3.02789","0","-1"
"43166","Derde",,"derde",,"ES","04830","0","0","37.79968","-2.16240","0","-1"
"43167","Domenes",,"domenes",,"ES","04897","0","0","37.32809","-2.61066","0","-1"
"43168","Doña Juana",,"dona-juana",,"ES","04813","0","0","37.53161","-2.22341","0","-1"
"43169","Doña Maria de Ocaña",,"dona-maria-de-ocana",,"ES","04530","0","0","37.13424","-2.71184","0","-1"
"43170","El Aceituno",,"el-aceituno",,"ES","04692","0","0","37.30787","-2.13829","0","-1"
"43171","El Agua del Medio",,"el-agua-del-medio",,"ES","04638","0","0","37.07136","-1.86347","0","-1"
"43172","El Albarico",,"el-albarico",,"ES","04288","0","0","37.10811","-2.16622","0","-1"
"43173","El Alhanchete",,"el-alhanchete",,"ES","04619","0","0","37.30985","-1.88330","0","-1"
"43174","El Almendral",,"el-almendral",,"ES","04559","0","0","37.15741","-2.53865","0","-1"
"43175","El Alquián",,"el-alquian",,"ES","04130","0","0","36.85280","-2.35521","0","-1"
"43176","El Argamason",,"el-argamason",,"ES","04149","0","0","36.99864","-1.97790","0","-1"
"43177","El Arroyo Aceituno",,"el-arroyo-aceituno",,"ES","04850","0","0","37.30787","-2.13829","0","-1"
