"id","name","french_name","norm_name","norm_french_name","country_code","postal_code","zone1","zone2","lat","lng","note","url_unique"
"127502","Hilzingen",,"hilzingen",,"DE","78247","0","0","47.76567","8.77826","0","-1"
"127503","Hohenfels",,"hohenfels",,"DE","78355","0","0","47.88815","9.09989","0","-1"
"127504","Insel Mainau",,"insel-mainau",,"DE","78465","0","0","47.70492","9.19296","0","-1"
"127505","Konstanz",,"konstanz",,"DE","78462","0","0","47.85186","8.77024","0","-1"
"127506","Moos",,"moos",,"DE","78345","0","0","47.72414","8.93469","0","-1"
"127507","Mühlhausen-Ehingen",,"muhlhausen-ehingen",,"DE","78259","0","0","47.80831","8.81714","0","-1"
"127508","Mühlingen",,"muhlingen",,"DE","78357","0","0","47.91296","9.01716","0","-1"
"127509","Öhningen",,"ohningen",,"DE","78337","0","0","47.66129","8.89145","0","-1"
"127510","Orsingen-Nenzingen",,"orsingen-nenzingen",,"DE","78359","0","0","47.84165","8.96031","0","-1"
"127511","Radolfzell am Bodensee",,"radolfzell-am-bodensee",,"DE","78315","0","0","47.73634","8.96947","0","-1"
"127512","Reichenau",,"reichenau",,"DE","78479","0","0","47.68945","9.06395","0","-1"
"127513","Rielasingen-Worblingen",,"rielasingen-worblingen",,"DE","78239","0","0","47.73495","8.84045","0","-1"
"127514","Singen (Hohentwiel)",,"singen-(hohentwiel)",,"DE","78224","0","0","47.76184","8.83465","0","-1"
"127515","Steißlingen",,"steißlingen",,"DE","78256","0","0","47.80014","8.92430","0","-1"
"127516","Stockach",,"stockach",,"DE","78333","0","0","47.85404","9.01473","0","-1"
"127517","Tengen",,"tengen",,"DE","78250","0","0","47.81754","8.65955","0","-1"
"127518","Volkertshausen",,"volkertshausen",,"DE","78269","0","0","47.82161","8.86773","0","-1"
"127519","Aitern",,"aitern",,"DE","79677","0","0","47.80346","7.89358","0","-1"
"127520","Bad Bellingen",,"bad-bellingen",,"DE","79415","0","0","47.73195","7.55694","0","-1"
"127521","Binzen",,"binzen",,"DE","79589","0","0","47.63142","7.62486","0","-1"
"127522","Böllen",,"bollen",,"DE","79677","0","0","47.80094","7.83880","0","-1"
"127523","Efringen-Kirchen",,"efringen-kirchen",,"DE","79588","0","0","47.64972","7.56511","0","-1"
"127524","Eimeldingen",,"eimeldingen",,"DE","79591","0","0","47.63174","7.59521","0","-1"
"127525","Fischingen",,"fischingen",,"DE","79592","0","0","47.64945","7.59942","0","-1"
"127526","Fröhnd",,"frohnd",,"DE","79677","0","0","47.75551","7.88138","0","-1"
"127527","Grenzach-Wyhlen",,"grenzach-wyhlen",,"DE","79639","0","0","47.55278","7.66112","0","-1"
"127528","Häg-Ehrsberg",,"hag-ehrsberg",,"DE","79685","0","0","47.73326","7.91592","0","-1"
"127529","Hasel",,"hasel",,"DE","79686","0","0","47.65345","7.89793","0","-1"
"127530","Hausen im Wiesental",,"hausen-im-wiesental",,"DE","79688","0","0","47.68089","7.84118","0","-1"
"127531","Inzlingen",,"inzlingen",,"DE","79594","0","0","47.58770","7.69294","0","-1"
"127532","Kandern",,"kandern",,"DE","79400","0","0","47.71433","7.66104","0","-1"
"127533","Kleines Wiesental",,"kleines-wiesental",,"DE","79692","0","0","47.61937","7.65924","0","-1"
"127534","Lörrach",,"lorrach",,"DE","79539","0","0","47.62711","7.65565","0","-1"
"127535","Malsburg-Marzell",,"malsburg-marzell",,"DE","79429","0","0","47.73342","7.70925","0","-1"
"127536","Maulburg",,"maulburg",,"DE","79689","0","0","47.64086","7.77801","0","-1"
"127537","Rheinfelden (Baden)",,"rheinfelden-(baden)",,"DE","79618","0","0","47.55924","7.78433","0","-1"
"127538","Rümmingen",,"rummingen",,"DE","79595","0","0","47.64229","7.64260","0","-1"
"127539","Schallbach",,"schallbach",,"DE","79597","0","0","47.65564","7.62715","0","-1"
"127540","Schliengen",,"schliengen",,"DE","79418","0","0","47.75575","7.57643","0","-1"
"127541","Schönau im Schwarzwald",,"schonau-im-schwarzwald",,"DE","79677","0","0","47.78599","7.89409","0","-1"
"127542","Schönenberg",,"schonenberg",,"DE","79677","0","0","47.79272","7.88231","0","-1"
"127543","Schopfheim",,"schopfheim",,"DE","79650","0","0","47.65015","7.82279","0","-1"
"127544","Schwörstadt",,"schworstadt",,"DE","79739","0","0","47.59380","7.88003","0","-1"
"127545","Steinen",,"steinen",,"DE","79585","0","0","47.64362","7.73929","0","-1"
"127546","Todtnau",,"todtnau",,"DE","79674","0","0","47.82945","7.94742","0","-1"
"127547","Tunau",,"tunau",,"DE","79677","0","0","47.78597","7.92420","0","-1"
"127548","Utzenfeld",,"utzenfeld",,"DE","79694","0","0","47.80125","7.91574","0","-1"
"127549","Weil am Rhein",,"weil-am-rhein",,"DE","79576","0","0","47.59441","7.62969","0","-1"
"127550","Wembach",,"wembach",,"DE","79677","0","0","47.77282","7.88774","0","-1"
"127551","Wieden",,"wieden",,"DE","79695","0","0","47.84174","7.88234","0","-1"
