"id","country_code","postCode","point","note","zone1_id","zone2_id","names","slugs","languages","mains"
"91989","CH","5243","POINT(8.23939 47.45780)","0",NULL,NULL,"Mülligen","muelligen-ch-5243","de","0"
"91990","CH","5225","POINT(8.15466 47.49702)","0",NULL,NULL,"Oberbözberg","oberboezberg-ch-5225","de","0"
"91991","CH","5108","POINT(8.13052 47.44086)","0",NULL,NULL,"Oberflachs","oberflachs-ch-5108","de","0"
"91992","CH","5236","POINT(8.18929 47.51574)","0",NULL,NULL,"Remigen","remigen-ch-5236","de","0"
"91993","CH","5223","POINT(8.18899 47.49390)","0",NULL,NULL,"Riniken","riniken-ch-5223","de","0"
"91994","CH","5235","POINT(8.20508 47.50906)","0",NULL,NULL,"Rüfenach","ruefenach-ch-5235","de","0"
"91995","CH","5246","POINT(8.18568 47.44622)","0",NULL,NULL,"Scherz","scherz-ch-5246","de","0"
"91996","CH","5116","POINT(8.16848 47.44969)","0",NULL,NULL,"Schinznach Bad","schinznach-bad-ch-5116","de","0"
"91997","CH","5107","POINT(8.14140 47.44699)","0",NULL,NULL,"Schinznach Dorf","schinznach-dorf-ch-5107","de","0"
"91998","CH","5112","POINT(8.09829 47.43583)","0",NULL,NULL,"Thalheim","thalheim-ch-5112","de","0"
"91999","CH","5222","POINT(8.18934 47.48205)","0",NULL,NULL,"Umiken","umiken-ch-5222","de","0"
"92000","CH","5224","POINT(8.24462 47.48295)","0",NULL,NULL,"Stalden bei Brugg","stalden-bei-brugg-ch-5224","de","0"
"92001","CH","5224","POINT(8.15833 47.48803)","0",NULL,NULL,"Unterbözberg","unterboezberg-ch-5224","de","0"
"92002","CH","5106","POINT(8.71447 47.50903)","0",NULL,NULL,"Veltheim","veltheim-ch-5106","de","0"
"92003","CH","5233","POINT(8.23189 47.51738)","0",NULL,NULL,"Stilli","stilli-ch-5233","de","0"
"92004","CH","5232","POINT(8.22225 47.53894)","0",NULL,NULL,"Villigen","villigen-ch-5232","de","0"
"92005","CH","5213","POINT(8.16324 47.46937)","0",NULL,NULL,"Villnachern","villnachern-ch-5213","de","0"
